Customer_ID,Name,Age,Gender,City,Income
1717,Krishna Kumar,58.0,Other,Ahmedabad,1896028.0
4831,Sai Reddy,68.0,Male,Hyderabad,
4668,Shaurya Das,65.0,Other,Ahmedabad,398801.0
4098,Vivaan Gupta,24.0,Female,Ahmedabad,312407.0
222,Sai Iyer,39.0,Female,Delhi,1219604.0
523,Riya Singh,64.0,Male,Hyderabad,1706257.0
3086,Shaurya Kumar,34.0,Female,Jaipur,835360.0
76,Vivaan Joshi,28.0,,Jaipur,1469762.0
3562,Arjun Kumar,68.0,Other,Surat,1424305.0
2026,Aadhya Reddy,22.0,Other,Hyderabad,1538589.0
1317,Riya Reddy,56.0,Male,Hyderabad,466830.0
3246,Ira Joshi,31.0,Female,Bangalore,1707512.0
3150,Riya Patel,,Other,Pune,1800178.0
2318,Vivaan Das,47.0,Male,Mumbai,1899072.0
3852,Diya Sharma,32.0,Male,Mumbai,4192892.0
3512,Sara Mehta,47.0,Female,Surat,885299.0
2540,Saanvi Singh,57.0,Female,Pune,1586068.0
755,Ishaan Kumar,37.0,Other,Surat,831387.0
1982,Vihaan Sharma,46.0,Male,,
610,Aadhya Gupta,65.0,Other,,1365127.0
1856,Pari Mehta,54.0,Female,Hyderabad,1230723.0
3630,Aarav Reddy,,Female,Kolkata,338165.0
2937,Aanya Das,33.0,Male,Pune,686419.0
3626,Arjun Singh,68.0,Female,Kolkata,537892.0
2643,Pari Iyer,50.0,Female,Hyderabad,1365293.0
702,Ira Gupta,29.0,Female,Kolkata,265020.0
3972,Shaurya Das,52.0,Female,Chennai,431684.0
285,Diya Kumar,67.0,Other,Mumbai,823673.0
1741,Riya Kumar,40.0,Male,Mumbai,5930064.0
4717,Pari Reddy,64.0,Male,Jaipur,1467780.0
2619,Saanvi Sharma,32.0,Male,Ahmedabad,518812.0
4483,Ananya Das,37.0,Other,Jaipur,1851555.0
4100,Ananya Kumar,56.0,Other,Delhi,1852185.0
1296,Riya Kumar,54.0,Other,Jaipur,1992409.0
348,Aarav Joshi,42.0,Other,Hyderabad,686874.0
3190,Aditya Patel,26.0,Other,Hyderabad,1867104.0
799,Myra Patel,20.0,Other,Delhi,1235153.0
749,Aditya Kumar,49.0,Female,Hyderabad,1435900.0
2086,Ishaan Singh,64.0,Other,Mumbai,1613137.0
1644,Sai Mehta,31.0,Male,Mumbai,1053113.0
3731,Aadhya Singh,,,,352424.0
2156,Vihaan Gupta,,Female,Hyderabad,1190871.0
3238,Krishna Kumar,48.0,Male,Jaipur,
4802,Aadhya Sharma,65.0,Other,Ahmedabad,1179282.0
3790,Arjun Das,41.0,Male,Jaipur,1408184.0
4562,Krishna Patel,45.0,Female,Surat,974801.0
1107,Aanya Iyer,45.0,Male,,1503744.0
3850,Aditya Joshi,68.0,Other,,1903942.0
1088,Saanvi Joshi,44.0,Other,,753561.0
1492,Diya Sharma,61.0,Male,Surat,1845200.0
2343,Pari Reddy,50.0,Female,Mumbai,754267.0
4525,Vihaan Iyer,56.0,Female,Mumbai,892381.0
686,Sai Das,43.0,Female,Hyderabad,2254208.0
1345,Myra Sharma,64.0,,Pune,1835761.0
4935,Saanvi Kumar,55.0,Female,Pune,1744991.0
3758,Sai Iyer,30.0,Other,Pune,256825.0
556,Sara Iyer,57.0,Female,Hyderabad,482830.0
4512,Arjun Iyer,27.0,Female,Bangalore,808871.0
3605,Riya Patel,,Male,Mumbai,919360.0
2265,Shaurya Joshi,21.0,Female,Mumbai,534526.0
2686,Pari Das,62.0,Female,Kolkata,1927848.0
81,Saanvi Das,35.0,Female,Surat,222862.0
3524,Pari Patel,55.0,Male,,312055.0
808,Reyansh Mehta,46.0,Male,Hyderabad,333234.0
1714,Diya Kumar,37.0,Male,Delhi,734567.0
258,Diya Iyer,31.0,Other,Jaipur,645874.0
3265,Riya Gupta,27.0,Other,Chennai,
2059,Aditya Joshi,,Male,Bangalore,550238.0
4855,Ananya Iyer,68.0,Other,Chennai,633344.0
4467,Sara Sharma,55.0,Male,Ahmedabad,1846571.0
1051,Pari Mehta,24.0,Other,Jaipur,1080328.0
4526,Aadhya Sharma,49.0,Female,Ahmedabad,1539000.0
3926,Arjun Sharma,,Other,Hyderabad,1789846.0
206,Saanvi Mehta,32.0,Other,Pune,1980150.0
2413,Ishaan Iyer,20.0,Other,Ahmedabad,1288119.0
2197,Sai Sharma,66.0,Female,Kolkata,1499939.0
2266,Pari Joshi,33.0,Male,Mumbai,1703332.0
3490,Aanya Kumar,63.0,Other,Pune,523357.0
948,Pari Gupta,64.0,Male,Bangalore,483374.0
4957,Aanya Das,67.0,Male,Ahmedabad,1176417.0
4673,Aarav Singh,69.0,Other,Bangalore,1345885.0
2986,Ishaan Sharma,60.0,Other,Jaipur,542157.0
2806,Vihaan Gupta,24.0,Male,Bangalore,940605.0
4784,Saanvi Singh,67.0,Other,Ahmedabad,1662037.0
2579,Shaurya Kumar,18.0,,Kolkata,228431.0
3556,Vihaan Joshi,22.0,Other,Chennai,478845.0
2526,Pari Mehta,62.0,Other,,1904707.0
4361,Diya Sharma,58.0,Female,Delhi,1676692.0
2869,Aditya Singh,69.0,Female,Jaipur,279322.0
3762,Aditya Singh,61.0,Other,Hyderabad,
4241,Aadhya Mehta,67.0,Male,Pune,786178.0
3781,Krishna Gupta,62.0,Female,Delhi,871348.0
4460,Krishna Gupta,62.0,Other,Hyderabad,937959.0
1215,Vihaan Patel,55.0,Other,Bangalore,1066302.0
4333,Vihaan Das,34.0,,Surat,602033.0
2718,Arjun Iyer,49.0,Female,Hyderabad,
3297,Reyansh Das,66.0,Other,,1939678.0
938,Myra Gupta,64.0,Male,,1621886.0
2649,Aadhya Mehta,36.0,Female,Pune,224098.0
1424,Ananya Gupta,43.0,Female,Ahmedabad,1289150.0
861,Diya Reddy,31.0,Other,Chennai,241198.0
4915,Shaurya Reddy,28.0,Other,Chennai,461221.0
4272,Saanvi Sharma,56.0,Female,Pune,1938707.0
565,Riya Mehta,46.0,Male,Mumbai,1316638.0
2288,Aadhya Reddy,65.0,Other,Bangalore,854271.0
3976,Shaurya Singh,30.0,Other,Delhi,1679721.0
2776,Aditya Das,64.0,Male,Pune,1395950.0
1393,Aanya Das,36.0,,Pune,1451851.0
1978,Ira Reddy,26.0,,Chennai,1884837.0
377,Saanvi Iyer,31.0,Female,Ahmedabad,
3794,Aadhya Iyer,64.0,Female,Chennai,975297.0
2632,Sai Patel,48.0,Female,Ahmedabad,1728671.0
4227,Saanvi Patel,56.0,,Surat,588220.0
942,Arjun Das,37.0,Female,Delhi,1362761.0
843,Riya Kumar,39.0,Other,Surat,525527.0
1484,Shaurya Kumar,68.0,Female,Delhi,1819051.0
1882,Ira Singh,42.0,Female,Kolkata,1269174.0
605,Sai Kumar,26.0,,Jaipur,601126.0
2896,Riya Gupta,,Female,Mumbai,399290.0
760,Aarav Gupta,28.0,Other,Delhi,750913.0
3129,Riya Patel,44.0,Other,Chennai,481478.0
4340,Vihaan Kumar,36.0,Other,Surat,1495542.0
4129,Ananya Reddy,25.0,,Surat,226098.0
2262,Riya Iyer,60.0,Other,Mumbai,1470061.0
3366,Sara Mehta,65.0,Male,Mumbai,203995.0
218,Saanvi Kumar,62.0,Other,Kolkata,1185283.0
4641,Vivaan Sharma,21.0,Other,Bangalore,1286244.0
3750,Pari Das,45.0,Male,Surat,
1346,Sara Joshi,24.0,Female,Ahmedabad,206466.0
1781,Sai Joshi,20.0,Female,Jaipur,679915.0
2461,Pari Mehta,48.0,Other,Delhi,1057125.0
867,Reyansh Joshi,,Other,,1493898.0
3325,Arjun Iyer,25.0,Other,Chennai,1993480.0
2476,Pari Reddy,23.0,Other,Pune,1771498.0
240,Saanvi Patel,22.0,Other,Hyderabad,565991.0
2142,Riya Das,21.0,Female,Delhi,934171.0
757,Pari Sharma,,Male,Mumbai,1519882.0
3119,Aanya Joshi,64.0,Female,Ahmedabad,363965.0
1129,Diya Singh,21.0,,,
989,Aadhya Patel,,Other,Ahmedabad,1108660.0
2620,Aanya Sharma,,Other,Bangalore,570669.0
3128,Aadhya Joshi,48.0,Male,Pune,1145516.0
3247,Riya Iyer,38.0,Male,Jaipur,734456.0
173,Aditya Iyer,63.0,Female,Hyderabad,552584.0
978,Aadhya Kumar,51.0,Other,Mumbai,1989336.0
851,Ishaan Joshi,67.0,Male,Bangalore,309301.0
2873,Riya Das,22.0,Other,Delhi,1603677.0
2967,Vivaan Sharma,35.0,,Ahmedabad,429587.0
3799,Vivaan Das,29.0,Male,Jaipur,
451,Vihaan Reddy,39.0,,Kolkata,1801199.0
821,Ishaan Reddy,24.0,Other,Hyderabad,521507.0
2085,Shaurya Joshi,43.0,Male,Pune,358101.0
3124,Aadhya Patel,48.0,Other,Hyderabad,218551.0
3410,Aanya Patel,69.0,,Ahmedabad,249744.0
2882,Aarav Gupta,45.0,Female,Mumbai,885513.0
1562,Sai Iyer,51.0,Male,Bangalore,1805753.0
487,Myra Joshi,28.0,Other,Bangalore,529355.0
2017,Sai Kumar,41.0,Other,Delhi,1631125.0
3019,Sara Sharma,68.0,Male,Bangalore,
3353,Saanvi Patel,33.0,Male,Kolkata,
3146,Vivaan Joshi,57.0,Male,Hyderabad,2938896.0
483,Myra Kumar,64.0,Other,,884945.0
3516,Aarav Kumar,66.0,Male,Jaipur,325098.0
4424,Sara Joshi,43.0,Female,Pune,911255.0
2309,Aadhya Das,38.0,Other,Jaipur,
972,Aanya Iyer,55.0,Male,,1062525.0
1535,Pari Patel,23.0,Other,Kolkata,1244625.0
3636,Pari Reddy,32.0,Other,Mumbai,503785.0
1178,Aadhya Patel,27.0,Other,Hyderabad,265161.0
3670,Diya Reddy,45.0,Male,Jaipur,1763822.0
56,Reyansh Iyer,59.0,,Chennai,693367.0
1911,Krishna Singh,53.0,Other,Pune,974064.0
3278,Krishna Das,62.0,Male,,704259.0
99,Ananya Iyer,51.0,Female,Mumbai,6593344.0
366,Reyansh Das,21.0,Female,Pune,1731519.0
4686,Sara Patel,44.0,Other,Chennai,1352151.0
231,Vihaan Iyer,20.0,Male,Mumbai,517413.0
1255,Aadhya Iyer,45.0,Male,Bangalore,796545.0
1747,Aarav Das,19.0,Other,Hyderabad,1298834.0
3714,Ishaan Das,67.0,Male,Pune,271550.0
4647,Diya Sharma,62.0,Female,Surat,664531.0
2013,Diya Reddy,68.0,Male,Ahmedabad,279333.0
4074,Ananya Patel,57.0,Female,Hyderabad,552864.0
